,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.388,0.338,10,-10.054,1,0.0329,0.652,3.73e-06,0.248,0.478,177.765,audio_features,2RlgNHKcydI9sayD2Df2xp,spotify:track:2RlgNHKcydI9sayD2Df2xp,https://api.spotify.com/v1/tracks/2RlgNHKcydI9sayD2Df2xp,https://api.spotify.com/v1/audio-analysis/2RlgNHKcydI9sayD2Df2xp,303373,4
1,0.559,0.868,5,-5.276,1,0.17,0.0475,0.000176,0.776,0.609,156.295,audio_features,5T8EDUDqKcs6OSOwEsfqG7,spotify:track:5T8EDUDqKcs6OSOwEsfqG7,https://api.spotify.com/v1/tracks/5T8EDUDqKcs6OSOwEsfqG7,https://api.spotify.com/v1/audio-analysis/5T8EDUDqKcs6OSOwEsfqG7,209413,4
2,0.396,0.473,10,-7.67,0,0.0345,0.326,0.000124,0.109,0.385,133.449,audio_features,5t9KYe0Fhd5cW6UYT4qP8f,spotify:track:5t9KYe0Fhd5cW6UYT4qP8f,https://api.spotify.com/v1/tracks/5t9KYe0Fhd5cW6UYT4qP8f,https://api.spotify.com/v1/audio-analysis/5t9KYe0Fhd5cW6UYT4qP8f,219027,4
3,0.578,0.655,9,-7.935,1,0.0277,0.121,6.91e-06,0.137,0.898,101.889,audio_features,6sn3FHCq2csvNkq2h9Au8V,spotify:track:6sn3FHCq2csvNkq2h9Au8V,https://api.spotify.com/v1/tracks/6sn3FHCq2csvNkq2h9Au8V,https://api.spotify.com/v1/audio-analysis/6sn3FHCq2csvNkq2h9Au8V,234840,4
4,0.526,0.775,0,-6.05,1,0.0352,0.707,2.05e-05,0.217,0.962,80.106,audio_features,3G7tRC24Uh09Hmp1KZ7LQ2,spotify:track:3G7tRC24Uh09Hmp1KZ7LQ2,https://api.spotify.com/v1/tracks/3G7tRC24Uh09Hmp1KZ7LQ2,https://api.spotify.com/v1/audio-analysis/3G7tRC24Uh09Hmp1KZ7LQ2,167373,4
5,0.32,0.917,9,-5.903,1,0.0771,0.0717,0.0,0.169,0.715,190.757,audio_features,15tHagkk8z306XkyOHqiip,spotify:track:15tHagkk8z306XkyOHqiip,https://api.spotify.com/v1/tracks/15tHagkk8z306XkyOHqiip,https://api.spotify.com/v1/audio-analysis/15tHagkk8z306XkyOHqiip,188360,4
6,0.583,0.414,5,-16.409,1,0.0289,0.13,0.000616,0.064,0.532,97.542,audio_features,3LFdvM7nIV8t02zyhYLvJo,spotify:track:3LFdvM7nIV8t02zyhYLvJo,https://api.spotify.com/v1/tracks/3LFdvM7nIV8t02zyhYLvJo,https://api.spotify.com/v1/audio-analysis/3LFdvM7nIV8t02zyhYLvJo,309533,4
7,0.622,0.807,5,-6.752,0,0.408,0.103,0.0,0.306,0.892,174.06,audio_features,6x4tKaOzfNJpEJHySoiJcs,spotify:track:6x4tKaOzfNJpEJHySoiJcs,https://api.spotify.com/v1/tracks/6x4tKaOzfNJpEJHySoiJcs,https://api.spotify.com/v1/audio-analysis/6x4tKaOzfNJpEJHySoiJcs,220293,4
8,0.589,0.715,0,-6.073,1,0.0401,0.0884,0.00105,0.0559,0.806,120.999,audio_features,3zKjn4QnDvi8pCu8brRM7v,spotify:track:3zKjn4QnDvi8pCu8brRM7v,https://api.spotify.com/v1/tracks/3zKjn4QnDvi8pCu8brRM7v,https://api.spotify.com/v1/audio-analysis/3zKjn4QnDvi8pCu8brRM7v,203120,4
9,0.62,0.573,0,-11.893,1,0.0423,0.271,0.0,0.0607,0.897,81.548,audio_features,0ikz6tENMONtK6qGkOrU3c,spotify:track:0ikz6tENMONtK6qGkOrU3c,https://api.spotify.com/v1/tracks/0ikz6tENMONtK6qGkOrU3c,https://api.spotify.com/v1/audio-analysis/0ikz6tENMONtK6qGkOrU3c,231333,4
